UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_Significance,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_Significance,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_Significance,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader,Exclude
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic community structure,invertebrates,primary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,functional community structure,invertebrates,primary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic beta diversity,invertebrates,multiple trophic levels,increase,large - sig,sig,N,,,,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,functional beta diversity,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,,,
7,Y,Y,Drought,,Drought,weeks,>1000 sq m,undefined,25.2866,-80.8987,N. America,USA,11955,estuary,Everglades National Park,22006,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,abundance,fish,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,This paper is interesting as it describes 2 different extreme events (a cold front and a drought) and the resulting influence on fish abundance.,
7,Y,Y,Drought,,Drought,weeks,>1000 sq m,undefined,25.2866,-80.8987,N. America,USA,11955,estuary,Everglades National Park,22006,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,water,streamflow,discharge,decrease,large - sig,sig,N,,,,,,,,,,
7,Y,Y,Drought,,Drought,weeks,>1000 sq m,undefined,25.2866,-80.8987,N. America,USA,11955,estuary,Everglades National Park,22006,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,water,salinity,discharge,increase,large - sig,sig,N,,,,,,,,,,
7,Y,Y,Weather System,,Cold Front,days,>1000 sq m,undefined,25.2866,-80.8987,N. America,USA,11927,estuary,Everglades National Park,22006,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,abundance,fish,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,,
7,Y,Y,Weather System,,Cold Front,days,>1000 sq m,undefined,25.2866,-80.8987,N. America,USA,11927,estuary,Everglades National Park,22006,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,,,,,,,,,,,,,,,,,
9,Y,Y,Precipitation,,Flood,months,>1000 sq m,years,40.13333333,-8.83333333,Europe,Portugal,22001,estuary,Mondego Estuary,11999,years,months,years,Y,100-1000 sq m,N,>1000 sq m,Yes with a statistical context-specific definition,,biomass,crustaceans,primary consumers,decrease,unspecified/unclear,no response,N,,,,,,,,,,,,,,,,I think this is the correct #9? Pretty confusing paper - talked a lot about extreme events but very little about the actual biological response to the events categorized. Just included events where they explicitly indicated what the biological response was.,
9,Y,Y,Precipitation,,Flood,months,>1000 sq m,years,40.13333333,-8.83333333,Europe,Portugal,22001,estuary,Mondego Estuary,11999,years,months,years,Y,100-1000 sq m,N,>1000 sq m,Yes with a statistical context-specific definition,,density,crustaceans,primary consumers,decrease,unspecified/unclear,no response,N,,,,,,,,,,,,,,,,"From Erin: I agree that this is confusing, and I think you selected the correct events. One minor thing - I think the location name should be the Mondego Estuary, rather than the Mondego River, but their map is not entirely clear on this point.",
9,Y,Y,Drought,,Drought,months,>1000 sq m,years,40.13333333,-8.83333333,Europe,Portugal,22002,estuary,Mondego Estuary,11999,years,months,years,Y,100-1000 sq m,N,>1000 sq m,Yes with a statistical context-specific definition,,abundance,submerged aquatic vegetation,primary producers,decrease,unspecified/unclear,no response,N,,,,,,,,,,,,,,,,,
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,31990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,abundance,bacteria,NA,increase,large - sig,sig,N,water,streamflow,discharge,decrease,large - sig not tested,no response,N,Salinity/Conductivity,concentration (mass/volume - 1 sample),,no response,no response,no response,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.","I'm not convinced they really measured diversity with MCI (even though they say they did), since its an index that takes into account sensitivity not just diversity - I might directly call the response Macroinvertebrate Community Index. Month is a bit confusing - doesn't specify for physical/chemical parameters, but would be March for biological. I added March in the two lines that deal with biological samples. Suggest changing the stream flow effect size to ""large - sig not tested"" (instead of ""large -non-sig""). I think DO should be a ""decrease"", not ""no response"" - looks like it decreased in all three subregions. Maybe change the trophic level of the bacteria to ""bacterial grazer""? hard to find out what fecal choliform bacteria actually do, other than indicate water quality! ",
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,31990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,macroinvertebrate community index,invertebrates,secondary consumers,decrease,small - non-sig,not sig,N,water,temperature,,increase,small - non-sig,not sig,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-TP,decrease,large - sig,sig,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",,
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,water,dissolved oxygen,,decrease,small - non-sig,not sig,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-TN,decrease,small - non-sig,not sig,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",,
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,water,turbidity,,decrease,small - non-sig,not sig,N,,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",,
11,Y,Y,Precipitation,Monsoon,Flood,months,10-100 sq m,centuries,30.37,78.015,Asia,India,72010,catchment/watershed,Tons River basin,72008,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,water,streamflow,discharge,increase,large - sig,sig,N,,,,,,,,"This study measured both mechanical and chemical sediment transport in relation to low/high rainfall years, so it is listed as both a physical and chemical response. They define the one monsoon year as a one in a century event. ","I can't find a significance test of the discharge (might be a data entry error?) I would list as ""large - sig not tested""",
11,Y,Y,Precipitation,Monsoon,Flood,months,10-100 sq m,centuries,30.37,78.015,Asia,India,72010,catchment/watershed,Tons River basin,72008,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,sediment,sediment transport,discharge,increase,large - sig not tested,no response,N,,,,,,,,,,
11,Y,Y,Precipitation,Monsoon,Flood,months,10-100 sq m,centuries,30.37,78.015,Asia,India,72010,catchment/watershed,Tons River basin,72008,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),TSS/sediment,increase,small - non-sig,not sig,N,,,
11,Y,Y,Precipitation,Monsoon,Flood,months,10-100 sq m,centuries,30.37,78.015,Asia,India,72010,catchment/watershed,Tons River basin,72008,years,years,years,Y,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,sediment,denudation rate,erosion,increase,large - sig not tested,no response,N,,,,,,,,,,
13,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,40.146085,-8.859012,Europe,Portugal,112004,estuary,Mondego River,12003,months,months,none,Y,1-10 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,density,zooplankton,multiple trophic levels,increase,unspecified/unclear,no response,N,water,temperature,,multidirectional,small - sig not tested,no response,N,,,,,,,,,,
13,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,40.146085,-8.859012,Europe,Portugal,112004,estuary,Mondego River,12003,months,months,none,Y,1-10 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,species richness,zooplankton,multiple trophic levels,increase,unspecified/unclear,no response,N,,,,,,,,Salinity/Conductivity,concentration (mass/volume - 1 sample),Salinity,increase,large - non-sig,not sig,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,biomass,algae-micro,primary producers,no response,no response,no response,N,water,water retention time,water retention time (days),decrease,large - non-sig,not sig,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-TP,decrease,large - non-sig,not sig,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,taxonomic community structure,algae-micro,primary producers,multidirectional,small - sig,sig,N,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),TSS/sediment,increase,large - non-sig,not sig,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,biomass,zooplankton,multiple trophic levels,increase,large - non-sig,not sig,N,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-SRP/PO4,decrease,large - sig,sig,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,functional community structure,zooplankton,multiple trophic levels,multidirectional,small - non-sig,not sig,N,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NO3 (includes NO3+NO2),no response,no response,no response,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NH4,no response,no response,no response,N,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),SiO2,no response,no response,no response,N,,,
15,Y,Y,Climate System,ENSO and NAO,Sea Ice Cover,months,Regional/Continent,undefined,56.54277778,-79.225,N. America,Canada,52010,estuary,Hudson Bay,102003,years,months,years,Y,Regional/Continent,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,body condition,marine mammals,tertiary consumers,decrease,large - sig,sig,Y,,,,,,,,,,,,,,,,"For Sampling_MonthYearStart I changed 012003 to 102003, because analyzed data were from autumn period (Oct - Dec)",
15,Y,Y,Climate System,ENSO and NAO,Sea Ice Cover,months,Regional/Continent,undefined,56.54277778,-79.225,N. America,Canada,52010,estuary,Hudson Bay,102003,years,months,years,Y,Regional/Continent,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,reproduction - ovulation rate,marine mammals,tertiary consumers,no response,no response,no response,Y,,,,,,,,,,,,,,,,"The longer-term trend showed a non-consistent change in ovulation, but the authors claim there was a punctuated decrease in ovulation in 2010 and state on page 7/17 in the discussion: ""Here, we document for the first time, a relationship with ringed seal demographics and the 2010 climatic event that resulted in a punctuated decrease in ovulation, reduced body condition, and increased cortisol levels."" My question is are we looking at the effect of the extreme 2010 year? Or the longer-term trends? And do we just trust the above statement in the discussion? All other reponse variables would be similar for long-term vs. 2010 effect",
15,Y,Y,Climate System,ENSO and NAO,Sea Ice Cover,months,Regional/Continent,undefined,56.54277778,-79.225,N. America,Canada,52010,estuary,Hudson Bay,102003,years,months,years,Y,Regional/Continent,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,reproduction - young survival,marine mammals,tertiary consumers,decrease,small - non-sig,not sig,Y,,,,,,,,,,,,,,,,,
15,Y,Y,Climate System,ENSO and NAO,Sea Ice Cover,months,Regional/Continent,undefined,56.54277778,-79.225,N. America,Canada,52010,estuary,Hudson Bay,102003,years,months,years,Y,Regional/Continent,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,stress - cortisol level,marine mammals,tertiary consumers,increase,large - sig,sig,Y,,,,,,,,,,,,,,,,,
16,N,,Climate System,ENSO,Heatwave,months,100-1000 sq m,decades,-25.9689,114.1142,Australia/Oceania,Australia,22011,estuary,Shark Bay,32011,none,single sample,years,N,1-10 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,water,temperature,,increase,large - non-sig,not sig,Y,,,,,,,,No statistical testing ... ?,"This entry was assigned unique accession number 17 - which did not match the other #17; does this belong to #41? -BJS  ---- I think this is paper #16 - it is also in Shark Bay, but is a totally different paper - Jenna",
16,Y,,Weather System,,Flood,months,100-1000 sq m,decades,-25.9689,114.1142,Australia/Oceania,Australia,122010,estuary,Shark Bay,32011,none,single sample,years,N,1-10 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,decrease,large - non-sig,not sig,Y,water,river flow,discharge,increase,large - non-sig,not sig,Y,,,,,,,,,"This entry was assigned unique accession number 17 - which did not match the other #17; does this belong to #41? -BJS  ---- I think this is paper #16 - it is also in Shark Bay, but is a totally different paper - Jenna",
17,N,Y,Drought,,Drought,years,>1000 sq m,years,27.8383,-97.0503,N. America,USA,22011,estuary,"Port Aransas, Texas",112009,years,years,years,Y,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,abundance,crustaceans,secondary consumers,increase,large - sig,sig,Y,,,,,,,,Salinity/Conductivity,concentration (mass/volume - 1 sample),Salinity,increase,large - sig,sig,Y,,,
17,N,Y,Drought,,Drought,years,>1000 sq m,years,27.8383,-97.0503,N. America,USA,22011,estuary,"Port Aransas, Texas",112009,years,years,years,Y,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,abundance,fish,secondary consumers,decrease,large - sig,sig,Y,,,,,,,,,,,,,,,,,
17,N,Y,Drought,,Drought,years,>1000 sq m,years,27.8383,-97.0503,N. America,USA,22011,estuary,"Port Aransas, Texas",112009,years,years,years,Y,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,metabolism,fish,egg essential fatty acids,increase,large - sig,sig,Y,,,,,,,,,,,,,,,,,
18,Y,Y,Climate System,,Heatwave,months,>1000 sq m,years,46.442162,6.530578,Europe,France & Switzerland,62003,lake,Lake Geneva,12001,weeks,weeks,weeks,Y,<1 sq m,N,<1 sq m,Yes with a statistical context-specific definition,,biomass,algae-micro,primary producers,increase,large - sig,,N,water,temperature,,increase,large - sig,sig,,,,,,,,,"This paper captures 3 extreme (>99th percentile) heatwave type events on Lake Geneva over a 4 year period. Their primary response variable is proportion cyanobacteria. They measured other physical and chemical parameters, but these were used to build a MARS model for the entire 8 year dataset to predict cynao biomass. They show that water temp was corelated with numerous physical and chemical parameters, but I did not include them here, as those correlations seem to be derived from the global dataset model, rather than an explicit response to the 3 extreme events this study captured.   ",Agree with your comment - my main take-home was the increse in biomass for the 3 extreme heat-related events!,
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2000,stream/river,Pearl River,11988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,fish,tertiary consumers,multidirectional,small - non-sig,not sig,N,water,river flow,discharge,decrease,large - sig not tested,no response,N,,,,,,,,"Some fish increased abundance; some fish decreased abundance, hence, multidirectional response","I think the month start date would be January (sampled quarterly, & they sampled the lower stretch beginning in Jan). I would agree the discharge after the droughts was lower, but not extreme for the effect size- it doesn't look like in 2007 it decreased much at all. Maybe ""large- sig not tested""?",
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2000,stream/river,Pearl River,11988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,species richness,fish,tertiary consumers,decrease,small - non-sig,not sig,N,,,,,,,,,,,,,,,,,
